Pokedex Number,Name,URL,Type1,Type2,Height,Weight,Base HP,Min HP,Max HP,Base Attack,Min Attack,Max Attack,Base Defense,Min Defense,Max Defense,Base Sp. Attack,Min Sp. Attack,Max Sp. Attack,Base Sp. Defense,Min Sp. Defense,Max Sp. Defense,Base Speed,Min Speed,Max Speed,Base Total,Min Total,Max Total,Legendary,Generation
152,Chikorita,https://pokemondb.net/pokedex/chikorita,Grass,None,0.9,6.4,45,200,294,49,92,216,65,121,251,49,92,216,65,121,251,45,85,207,318,711,1435,False,2
153,Bayleef,https://pokemondb.net/pokedex/bayleef,Grass,None,1.2,15.8,60,230,324,62,116,245,80,148,284,63,117,247,80,148,284,60,112,240,405,871,1624,False,2
154,Meganium,https://pokemondb.net/pokedex/meganium,Grass,None,1.8,100.5,80,270,364,82,152,289,100,184,328,83,153,291,100,184,328,80,148,284,525,1091,1884,False,2
155,Cyndaquil,https://pokemondb.net/pokedex/cyndaquil,Fire,None,0.5,7.9,39,188,282,52,98,223,43,81,203,60,112,240,50,94,218,65,121,251,309,694,1417,False,2
156,Quilava,https://pokemondb.net/pokedex/quilava,Fire,None,0.9,19.0,58,226,320,64,119,249,58,108,236,80,148,284,65,121,251,80,148,284,405,870,1624,False,2
157,Typhlosion,https://pokemondb.net/pokedex/typhlosion,Fire,None,1.7,79.5,78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,534,1106,1904,False,2
158,Totodile,https://pokemondb.net/pokedex/totodile,Water,None,0.6,9.5,50,210,304,65,121,251,64,119,249,44,83,205,48,90,214,43,81,203,314,704,1426,False,2
159,Croconaw,https://pokemondb.net/pokedex/croconaw,Water,None,1.1,25.0,65,240,334,80,148,284,80,148,284,59,110,238,63,117,247,58,108,236,405,871,1623,False,2
160,Feraligatr,https://pokemondb.net/pokedex/feraligatr,Water,None,2.3,88.8,85,280,374,105,193,339,100,184,328,79,146,282,83,153,291,78,144,280,530,1100,1894,False,2
161,Sentret,https://pokemondb.net/pokedex/sentret,Normal,None,0.8,6.0,35,180,274,46,87,210,34,65,183,35,67,185,45,85,207,20,40,152,215,524,1211,False,2
162,Furret,https://pokemondb.net/pokedex/furret,Normal,None,1.8,32.5,85,280,374,76,141,276,64,119,249,45,85,207,55,103,229,90,166,306,415,894,1641,False,2
163,Hoothoot,https://pokemondb.net/pokedex/hoothoot,Normal,Flying,0.7,21.2,60,230,324,30,58,174,30,58,174,36,69,188,56,105,232,50,94,218,262,614,1310,False,2
164,Noctowl,https://pokemondb.net/pokedex/noctowl,Normal,Flying,1.6,40.8,100,310,404,50,94,218,50,94,218,86,159,298,96,177,320,70,130,262,452,964,1720,False,2
165,Ledyba,https://pokemondb.net/pokedex/ledyba,Bug,Flying,1.0,10.8,40,190,284,20,40,152,30,58,174,40,76,196,80,148,284,55,103,229,265,615,1319,False,2
166,Ledian,https://pokemondb.net/pokedex/ledian,Bug,Flying,1.4,35.6,55,220,314,35,67,185,50,94,218,55,103,229,110,202,350,85,157,295,390,843,1591,False,2
167,Spinarak,https://pokemondb.net/pokedex/spinarak,Bug,Poison,0.5,8.5,40,190,284,60,112,240,40,76,196,40,76,196,40,76,196,30,58,174,250,588,1286,False,2
168,Ariados,https://pokemondb.net/pokedex/ariados,Bug,Poison,1.1,33.5,70,250,344,90,166,306,70,130,262,60,112,240,70,130,262,40,76,196,400,864,1610,False,2
169,Crobat,https://pokemondb.net/pokedex/crobat,Poison,Flying,1.8,75.0,85,280,374,90,166,306,80,148,284,70,130,262,80,148,284,130,238,394,535,1110,1904,False,2
170,Chinchou,https://pokemondb.net/pokedex/chinchou,Water,Electric,0.5,12.0,75,260,354,38,72,192,38,72,192,56,105,232,56,105,232,67,125,256,330,739,1458,False,2
171,Lanturn,https://pokemondb.net/pokedex/lanturn,Water,Electric,1.2,22.5,125,360,454,58,108,236,58,108,236,76,141,276,76,141,276,67,125,256,460,983,1734,False,2
172,Pichu,https://pokemondb.net/pokedex/pichu,Electric,None,0.3,2.0,20,150,244,40,76,196,15,31,141,35,67,185,35,67,185,60,112,240,205,503,1191,False,2
173,Cleffa,https://pokemondb.net/pokedex/cleffa,Fairy,None,0.3,3.0,50,210,304,25,49,163,28,54,170,45,85,207,55,103,229,15,31,141,218,532,1214,False,2
174,Igglybuff,https://pokemondb.net/pokedex/igglybuff,Normal,Fairy,0.3,1.0,90,290,384,30,58,174,15,31,141,40,76,196,20,40,152,15,31,141,210,526,1188,False,2
175,Togepi,https://pokemondb.net/pokedex/togepi,Fairy,None,0.3,1.5,35,180,274,20,40,152,65,121,251,40,76,196,65,121,251,20,40,152,245,578,1276,False,2
176,Togetic,https://pokemondb.net/pokedex/togetic,Fairy,Flying,0.6,3.2,55,220,314,40,76,196,85,157,295,80,148,284,105,193,339,40,76,196,405,870,1624,False,2
177,Natu,https://pokemondb.net/pokedex/natu,Psychic,Flying,0.2,2.0,40,190,284,50,94,218,45,85,207,70,130,262,45,85,207,70,130,262,320,714,1440,False,2
178,Xatu,https://pokemondb.net/pokedex/xatu,Psychic,Flying,1.5,15.0,65,240,334,75,139,273,70,130,262,95,175,317,70,130,262,95,175,317,470,989,1765,False,2
179,Mareep,https://pokemondb.net/pokedex/mareep,Electric,None,0.6,7.8,55,220,314,40,76,196,40,76,196,65,121,251,45,85,207,35,67,185,280,645,1349,False,2
180,Flaaffy,https://pokemondb.net/pokedex/flaaffy,Electric,None,0.8,13.3,70,250,344,55,103,229,55,103,229,80,148,284,60,112,240,45,85,207,365,801,1533,False,2
181,Ampharos,https://pokemondb.net/pokedex/ampharos,Electric,None,1.4,61.5,90,290,384,75,139,273,85,157,295,115,211,361,90,166,306,55,103,229,510,1066,1848,False,2
182,Bellossom,https://pokemondb.net/pokedex/bellossom,Grass,None,0.4,5.8,75,260,354,80,148,284,95,175,317,90,166,306,100,184,328,50,94,218,490,1027,1807,False,2
183,Marill,https://pokemondb.net/pokedex/marill,Water,Fairy,0.4,8.5,70,250,344,20,40,152,50,94,218,20,40,152,50,94,218,40,76,196,250,594,1280,False,2
184,Azumarill,https://pokemondb.net/pokedex/azumarill,Water,Fairy,0.8,28.5,100,310,404,50,94,218,80,148,284,60,112,240,80,148,284,50,94,218,420,906,1648,False,2
185,Sudowoodo,https://pokemondb.net/pokedex/sudowoodo,Rock,None,1.2,38.0,70,250,344,100,184,328,115,211,361,30,58,174,65,121,251,30,58,174,410,882,1632,False,2
186,Politoed,https://pokemondb.net/pokedex/politoed,Water,None,1.1,33.9,90,290,384,75,139,273,75,139,273,90,166,306,100,184,328,70,130,262,500,1048,1826,False,2
187,Hoppip,https://pokemondb.net/pokedex/hoppip,Grass,Flying,0.4,0.5,35,180,274,35,67,185,40,76,196,35,67,185,55,103,229,50,94,218,250,587,1287,False,2
188,Skiploom,https://pokemondb.net/pokedex/skiploom,Grass,Flying,0.6,1.0,55,220,314,45,85,207,50,94,218,45,85,207,65,121,251,80,148,284,340,753,1481,False,2
189,Jumpluff,https://pokemondb.net/pokedex/jumpluff,Grass,Flying,0.8,3.0,75,260,354,55,103,229,70,130,262,55,103,229,95,175,317,110,202,350,460,973,1741,False,2
190,Aipom,https://pokemondb.net/pokedex/aipom,Normal,None,0.8,11.5,55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,360,789,1525,False,2
191,Sunkern,https://pokemondb.net/pokedex/sunkern,Grass,None,0.3,1.8,30,170,264,30,58,174,30,58,174,30,58,174,30,58,174,30,58,174,180,460,1134,False,2
192,Sunflora,https://pokemondb.net/pokedex/sunflora,Grass,None,0.8,8.5,75,260,354,75,139,273,55,103,229,105,193,339,85,157,295,30,58,174,425,910,1664,False,2
193,Yanma,https://pokemondb.net/pokedex/yanma,Bug,Flying,1.2,38.0,65,240,334,65,121,251,45,85,207,75,139,273,45,85,207,95,175,317,390,845,1589,False,2
194,Wooper,https://pokemondb.net/pokedex/wooper,Water,Ground,0.4,8.5,55,220,314,45,85,207,45,85,207,25,49,163,25,49,163,15,31,141,210,519,1195,False,2
195,Quagsire,https://pokemondb.net/pokedex/quagsire,Water,Ground,1.4,75.0,95,300,394,85,157,295,85,157,295,65,121,251,65,121,251,35,67,185,430,923,1671,False,2
196,Espeon,https://pokemondb.net/pokedex/espeon,Psychic,None,0.9,26.5,65,240,334,65,121,251,60,112,240,130,238,394,95,175,317,110,202,350,525,1088,1886,False,2
197,Umbreon,https://pokemondb.net/pokedex/umbreon,Dark,None,1.0,27.0,95,300,394,65,121,251,110,202,350,60,112,240,130,238,394,65,121,251,525,1094,1880,False,2
198,Murkrow,https://pokemondb.net/pokedex/murkrow,Dark,Flying,0.5,2.1,60,230,324,85,157,295,42,80,201,85,157,295,42,80,201,91,168,309,405,872,1625,False,2
199,Slowking,https://pokemondb.net/pokedex/slowking,Water,Psychic,2.0,79.5,95,300,394,75,139,273,80,148,284,100,184,328,110,202,350,30,58,174,490,1031,1803,False,2
200,Misdreavus,https://pokemondb.net/pokedex/misdreavus,Ghost,None,0.7,1.0,60,230,324,60,112,240,60,112,240,85,157,295,85,157,295,85,157,295,435,925,1689,False,2
201,Unown,https://pokemondb.net/pokedex/unown,Psychic,None,0.5,5.0,48,206,300,72,134,267,48,90,214,72,134,267,48,90,214,48,90,214,336,744,1476,False,2
202,Wobbuffet,https://pokemondb.net/pokedex/wobbuffet,Psychic,None,1.3,28.5,190,490,584,33,63,181,58,108,236,33,63,181,58,108,236,33,63,181,405,895,1599,False,2
203,Girafarig,https://pokemondb.net/pokedex/girafarig,Normal,Psychic,1.5,41.5,70,250,344,80,148,284,65,121,251,90,166,306,65,121,251,85,157,295,455,963,1731,False,2
204,Pineco,https://pokemondb.net/pokedex/pineco,Bug,None,0.6,7.2,50,210,304,65,121,251,90,166,306,35,67,185,35,67,185,15,31,141,290,662,1372,False,2
205,Forretress,https://pokemondb.net/pokedex/forretress,Bug,Steel,1.2,125.8,75,260,354,90,166,306,140,256,416,60,112,240,60,112,240,40,76,196,465,982,1752,False,2
206,Dunsparce,https://pokemondb.net/pokedex/dunsparce,Normal,None,1.5,14.0,100,310,404,70,130,262,70,130,262,65,121,251,65,121,251,45,85,207,415,897,1637,False,2
207,Gligar,https://pokemondb.net/pokedex/gligar,Ground,Flying,1.1,64.8,65,240,334,75,139,273,105,193,339,35,67,185,65,121,251,85,157,295,430,917,1677,False,2
208,Steelix,https://pokemondb.net/pokedex/steelix,Steel,Ground,9.2,400.0,75,260,354,85,157,295,200,364,548,55,103,229,65,121,251,30,58,174,510,1063,1851,False,2
209,Snubbull,https://pokemondb.net/pokedex/snubbull,Fairy,None,0.6,7.8,60,230,324,80,148,284,50,94,218,40,76,196,40,76,196,30,58,174,300,682,1392,False,2
210,Granbull,https://pokemondb.net/pokedex/granbull,Fairy,None,1.4,48.7,90,290,384,120,220,372,75,139,273,60,112,240,60,112,240,45,85,207,450,958,1716,False,2
211,Qwilfish,https://pokemondb.net/pokedex/qwilfish,Water,Poison,0.5,3.9,65,240,334,95,175,317,85,157,295,55,103,229,55,103,229,85,157,295,440,935,1699,False,2
212,Scizor,https://pokemondb.net/pokedex/scizor,Bug,Steel,1.8,118.0,70,250,344,130,238,394,100,184,328,55,103,229,80,148,284,65,121,251,500,1044,1830,False,2
213,Shuckle,https://pokemondb.net/pokedex/shuckle,Bug,Rock,0.6,20.5,20,150,244,10,22,130,230,418,614,10,22,130,230,418,614,5,13,119,505,1043,1851,False,2
214,Heracross,https://pokemondb.net/pokedex/heracross,Bug,Fighting,1.5,54.0,80,270,364,125,229,383,75,139,273,40,76,196,95,175,317,85,157,295,500,1046,1828,False,2
215,Sneasel,https://pokemondb.net/pokedex/sneasel,Dark,Ice,0.9,28.0,55,220,314,95,175,317,55,103,229,35,67,185,75,139,273,115,211,361,430,915,1679,False,2
216,Teddiursa,https://pokemondb.net/pokedex/teddiursa,Normal,None,0.6,8.8,60,230,324,80,148,284,50,94,218,50,94,218,50,94,218,40,76,196,330,736,1458,False,2
217,Ursaring,https://pokemondb.net/pokedex/ursaring,Normal,None,1.8,125.8,90,290,384,130,238,394,75,139,273,75,139,273,75,139,273,55,103,229,500,1048,1826,False,2
218,Slugma,https://pokemondb.net/pokedex/slugma,Fire,None,0.7,35.0,40,190,284,40,76,196,40,76,196,70,130,262,40,76,196,20,40,152,250,588,1286,False,2
219,Magcargo,https://pokemondb.net/pokedex/magcargo,Fire,Rock,0.8,55.0,60,230,324,50,94,218,120,220,372,90,166,306,80,148,284,30,58,174,430,916,1678,False,2
220,Swinub,https://pokemondb.net/pokedex/swinub,Ice,Ground,0.4,6.5,50,210,304,50,94,218,40,76,196,30,58,174,30,58,174,50,94,218,250,590,1284,False,2
221,Piloswine,https://pokemondb.net/pokedex/piloswine,Ice,Ground,1.1,55.8,100,310,404,100,184,328,80,148,284,60,112,240,60,112,240,50,94,218,450,960,1714,False,2
222,Corsola,https://pokemondb.net/pokedex/corsola,Water,Rock,0.6,5.0,65,240,334,55,103,229,95,175,317,65,121,251,95,175,317,35,67,185,410,881,1633,False,2
223,Remoraid,https://pokemondb.net/pokedex/remoraid,Water,None,0.6,12.0,35,180,274,65,121,251,35,67,185,65,121,251,35,67,185,65,121,251,300,677,1397,False,2
224,Octillery,https://pokemondb.net/pokedex/octillery,Water,None,0.9,28.5,75,260,354,105,193,339,75,139,273,105,193,339,75,139,273,45,85,207,480,1009,1785,False,2
225,Delibird,https://pokemondb.net/pokedex/delibird,Ice,Flying,0.9,16.0,45,200,294,55,103,229,45,85,207,65,121,251,45,85,207,75,139,273,330,733,1461,False,2
226,Mantine,https://pokemondb.net/pokedex/mantine,Water,Flying,2.1,220.0,85,280,374,40,76,196,70,130,262,80,148,284,140,256,416,70,130,262,485,1020,1794,False,2
227,Skarmory,https://pokemondb.net/pokedex/skarmory,Steel,Flying,1.7,50.5,65,240,334,80,148,284,140,256,416,40,76,196,70,130,262,70,130,262,465,980,1754,False,2
228,Houndour,https://pokemondb.net/pokedex/houndour,Dark,Fire,0.6,10.8,45,200,294,60,112,240,30,58,174,80,148,284,50,94,218,65,121,251,330,733,1461,False,2
229,Houndoom,https://pokemondb.net/pokedex/houndoom,Dark,Fire,1.4,35.0,75,260,354,90,166,306,50,94,218,110,202,350,80,148,284,95,175,317,500,1045,1829,False,2
230,Kingdra,https://pokemondb.net/pokedex/kingdra,Water,Dragon,1.8,152.0,75,260,354,95,175,317,95,175,317,95,175,317,95,175,317,85,157,295,540,1117,1917,False,2
231,Phanpy,https://pokemondb.net/pokedex/phanpy,Ground,None,0.5,33.5,90,290,384,60,112,240,60,112,240,40,76,196,40,76,196,40,76,196,330,742,1452,False,2
232,Donphan,https://pokemondb.net/pokedex/donphan,Ground,None,1.1,120.0,90,290,384,120,220,372,120,220,372,60,112,240,60,112,240,50,94,218,500,1048,1826,False,2
233,Porygon2,https://pokemondb.net/pokedex/porygon2,Normal,None,0.6,32.5,85,280,374,80,148,284,90,166,306,105,193,339,95,175,317,60,112,240,515,1074,1860,False,2
234,Stantler,https://pokemondb.net/pokedex/stantler,Normal,None,1.4,71.2,73,256,350,95,175,317,62,116,245,85,157,295,65,121,251,85,157,295,465,982,1753,False,2
235,Smeargle,https://pokemondb.net/pokedex/smeargle,Normal,None,1.2,58.0,55,220,314,20,40,152,35,67,185,20,40,152,45,85,207,75,139,273,250,591,1283,False,2
236,Tyrogue,https://pokemondb.net/pokedex/tyrogue,Fighting,None,0.7,21.0,35,180,274,35,67,185,35,67,185,35,67,185,35,67,185,35,67,185,210,515,1199,False,2
237,Hitmontop,https://pokemondb.net/pokedex/hitmontop,Fighting,None,1.4,48.0,50,210,304,95,175,317,95,175,317,35,67,185,110,202,350,70,130,262,455,959,1735,False,2
238,Smoochum,https://pokemondb.net/pokedex/smoochum,Ice,Psychic,0.4,6.0,45,200,294,30,58,174,15,31,141,85,157,295,65,121,251,65,121,251,305,688,1406,False,2
239,Elekid,https://pokemondb.net/pokedex/elekid,Electric,None,0.6,23.5,45,200,294,63,117,247,37,71,190,65,121,251,55,103,229,95,175,317,360,787,1528,False,2
240,Magby,https://pokemondb.net/pokedex/magby,Fire,None,0.7,21.4,45,200,294,75,139,273,37,71,190,70,130,262,55,103,229,83,153,291,365,796,1539,False,2
241,Miltank,https://pokemondb.net/pokedex/miltank,Normal,None,1.2,75.5,95,300,394,80,148,284,105,193,339,40,76,196,70,130,262,100,184,328,490,1031,1803,False,2
242,Blissey,https://pokemondb.net/pokedex/blissey,Normal,None,1.5,46.8,255,620,714,10,22,130,10,22,130,75,139,273,135,247,405,55,103,229,540,1153,1881,False,2
243,Raikou,https://pokemondb.net/pokedex/raikou,Electric,None,1.9,178.0,90,290,384,85,157,295,75,139,273,115,211,361,100,184,328,115,211,361,580,1192,2002,True,2
244,Entei,https://pokemondb.net/pokedex/entei,Fire,None,2.1,198.0,115,340,434,115,211,361,85,157,295,90,166,306,75,139,273,100,184,328,580,1197,1997,True,2
245,Suicune,https://pokemondb.net/pokedex/suicune,Water,None,2.0,187.0,100,310,404,75,139,273,115,211,361,90,166,306,115,211,361,85,157,295,580,1194,2000,True,2
246,Larvitar,https://pokemondb.net/pokedex/larvitar,Rock,Ground,0.6,72.0,50,210,304,64,119,249,50,94,218,45,85,207,50,94,218,41,78,199,300,680,1395,False,2
247,Pupitar,https://pokemondb.net/pokedex/pupitar,Rock,Ground,1.2,152.0,70,250,344,84,155,293,70,130,262,65,121,251,70,130,262,51,96,221,410,882,1633,False,2
248,Tyranitar,https://pokemondb.net/pokedex/tyranitar,Rock,Dark,2.0,202.0,100,310,404,134,245,403,110,202,350,95,175,317,100,184,328,61,114,243,600,1230,2045,False,2
249,Lugia,https://pokemondb.net/pokedex/lugia,Psychic,Flying,5.2,216.0,106,322,416,90,166,306,130,238,394,90,166,306,154,281,447,110,202,350,680,1375,2219,True,2
250,Ho-oh,https://pokemondb.net/pokedex/ho-oh,Fire,Flying,3.8,199.0,106,322,416,130,238,394,90,166,306,110,202,350,154,281,447,90,166,306,680,1375,2219,True,2
251,Celebi,https://pokemondb.net/pokedex/celebi,Psychic,Grass,0.6,5.0,100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,600,1230,2044,True,2
252,Treecko,https://pokemondb.net/pokedex/treecko,Grass,None,0.5,5.0,40,190,284,45,85,207,35,67,185,65,121,251,55,103,229,70,130,262,310,696,1418,False,3
253,Grovyle,https://pokemondb.net/pokedex/grovyle,Grass,None,0.9,21.6,50,210,304,65,121,251,45,85,207,85,157,295,65,121,251,95,175,317,405,869,1625,False,3
254,Sceptile,https://pokemondb.net/pokedex/sceptile,Grass,None,1.7,52.2,70,250,344,85,157,295,65,121,251,105,193,339,85,157,295,120,220,372,530,1098,1896,False,3
255,Torchic,https://pokemondb.net/pokedex/torchic,Fire,None,0.4,2.5,45,200,294,60,112,240,40,76,196,70,130,262,50,94,218,45,85,207,310,697,1417,False,3
256,Combusken,https://pokemondb.net/pokedex/combusken,Fire,Fighting,0.9,19.5,60,230,324,85,157,295,60,112,240,85,157,295,60,112,240,55,103,229,405,871,1623,False,3
257,Blaziken,https://pokemondb.net/pokedex/blaziken,Fire,Fighting,1.9,52.0,80,270,364,120,220,372,70,130,262,110,202,350,70,130,262,80,148,284,530,1100,1894,False,3
258,Mudkip,https://pokemondb.net/pokedex/mudkip,Water,None,0.4,7.6,50,210,304,70,130,262,50,94,218,50,94,218,50,94,218,40,76,196,310,698,1416,False,3
259,Marshtomp,https://pokemondb.net/pokedex/marshtomp,Water,Ground,0.7,28.0,70,250,344,85,157,295,70,130,262,60,112,240,70,130,262,50,94,218,405,873,1621,False,3
260,Swampert,https://pokemondb.net/pokedex/swampert,Water,Ground,1.5,81.9,100,310,404,110,202,350,90,166,306,85,157,295,90,166,306,60,112,240,535,1113,1901,False,3
261,Poochyena,https://pokemondb.net/pokedex/poochyena,Dark,None,0.5,13.6,35,180,274,55,103,229,35,67,185,30,58,174,30,58,174,35,67,185,220,533,1221,False,3
262,Mightyena,https://pokemondb.net/pokedex/mightyena,Dark,None,1.0,37.0,70,250,344,90,166,306,70,130,262,60,112,240,60,112,240,70,130,262,420,900,1654,False,3
263,Zigzagoon,https://pokemondb.net/pokedex/zigzagoon,Normal,None,0.4,17.5,38,186,280,30,58,174,41,78,199,30,58,174,41,78,199,60,112,240,240,570,1266,False,3
264,Linoone,https://pokemondb.net/pokedex/linoone,Normal,None,0.5,32.5,78,266,360,70,130,262,61,114,243,50,94,218,61,114,243,100,184,328,420,902,1654,False,3
265,Wurmple,https://pokemondb.net/pokedex/wurmple,Bug,None,0.3,3.6,45,200,294,45,85,207,35,67,185,20,40,152,30,58,174,20,40,152,195,490,1164,False,3
266,Silcoon,https://pokemondb.net/pokedex/silcoon,Bug,None,0.6,10.0,50,210,304,35,67,185,55,103,229,25,49,163,25,49,163,15,31,141,205,509,1185,False,3
267,Beautifly,https://pokemondb.net/pokedex/beautifly,Bug,Flying,1.0,28.4,60,230,324,70,130,262,50,94,218,100,184,328,50,94,218,65,121,251,395,853,1601,False,3
268,Cascoon,https://pokemondb.net/pokedex/cascoon,Bug,None,0.7,11.5,50,210,304,35,67,185,55,103,229,25,49,163,25,49,163,15,31,141,205,509,1185,False,3
269,Dustox,https://pokemondb.net/pokedex/dustox,Bug,Poison,1.2,31.6,60,230,324,50,94,218,70,130,262,50,94,218,90,166,306,65,121,251,385,835,1579,False,3
270,Lotad,https://pokemondb.net/pokedex/lotad,Water,Grass,0.5,2.6,40,190,284,30,58,174,30,58,174,40,76,196,50,94,218,30,58,174,220,534,1220,False,3
271,Lombre,https://pokemondb.net/pokedex/lombre,Water,Grass,1.2,32.5,60,230,324,50,94,218,50,94,218,60,112,240,70,130,262,50,94,218,340,754,1480,False,3
272,Ludicolo,https://pokemondb.net/pokedex/ludicolo,Water,Grass,1.5,55.0,80,270,364,70,130,262,70,130,262,90,166,306,100,184,328,70,130,262,480,1010,1784,False,3
273,Seedot,https://pokemondb.net/pokedex/seedot,Grass,None,0.5,4.0,40,190,284,40,76,196,50,94,218,30,58,174,30,58,174,30,58,174,220,534,1220,False,3
274,Nuzleaf,https://pokemondb.net/pokedex/nuzleaf,Grass,Dark,1.0,28.0,70,250,344,70,130,262,40,76,196,60,112,240,40,76,196,60,112,240,340,756,1478,False,3
275,Shiftry,https://pokemondb.net/pokedex/shiftry,Grass,Dark,1.3,59.6,90,290,384,100,184,328,60,112,240,90,166,306,60,112,240,80,148,284,480,1012,1782,False,3
276,Taillow,https://pokemondb.net/pokedex/taillow,Normal,Flying,0.3,2.3,40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,85,157,295,270,624,1330,False,3
277,Swellow,https://pokemondb.net/pokedex/swellow,Normal,Flying,0.7,19.8,60,230,324,85,157,295,60,112,240,75,139,273,50,94,218,125,229,383,455,961,1733,False,3
278,Wingull,https://pokemondb.net/pokedex/wingull,Water,Flying,0.6,9.5,40,190,284,30,58,174,30,58,174,55,103,229,30,58,174,85,157,295,270,624,1330,False,3
279,Pelipper,https://pokemondb.net/pokedex/pelipper,Water,Flying,1.2,28.0,60,230,324,50,94,218,100,184,328,95,175,317,70,130,262,65,121,251,440,934,1700,False,3
280,Ralts,https://pokemondb.net/pokedex/ralts,Psychic,Fairy,0.4,6.6,28,166,260,25,49,163,25,49,163,45,85,207,35,67,185,40,76,196,198,492,1174,False,3
281,Kirlia,https://pokemondb.net/pokedex/kirlia,Psychic,Fairy,0.8,20.2,38,186,280,35,67,185,35,67,185,65,121,251,55,103,229,50,94,218,278,638,1348,False,3
282,Gardevoir,https://pokemondb.net/pokedex/gardevoir,Psychic,Fairy,1.6,48.4,68,246,340,65,121,251,65,121,251,125,229,383,115,211,361,80,148,284,518,1076,1870,False,3
283,Surskit,https://pokemondb.net/pokedex/surskit,Bug,Water,0.5,1.7,40,190,284,30,58,174,32,62,179,50,94,218,52,98,223,65,121,251,269,623,1329,False,3
284,Masquerain,https://pokemondb.net/pokedex/masquerain,Bug,Flying,0.8,3.6,70,250,344,60,112,240,62,116,245,100,184,328,82,152,289,80,148,284,454,962,1730,False,3
285,Shroomish,https://pokemondb.net/pokedex/shroomish,Grass,None,0.4,4.5,60,230,324,40,76,196,60,112,240,40,76,196,60,112,240,35,67,185,295,673,1381,False,3
286,Breloom,https://pokemondb.net/pokedex/breloom,Grass,Fighting,1.2,39.2,60,230,324,130,238,394,80,148,284,60,112,240,60,112,240,70,130,262,460,970,1744,False,3
287,Slakoth,https://pokemondb.net/pokedex/slakoth,Normal,None,0.8,24.0,60,230,324,60,112,240,60,112,240,35,67,185,35,67,185,30,58,174,280,646,1348,False,3
288,Vigoroth,https://pokemondb.net/pokedex/vigoroth,Normal,None,1.4,46.5,80,270,364,80,148,284,80,148,284,55,103,229,55,103,229,90,166,306,440,938,1696,False,3
289,Slaking,https://pokemondb.net/pokedex/slaking,Normal,None,2.0,130.5,150,410,504,160,292,460,100,184,328,95,175,317,65,121,251,100,184,328,670,1366,2188,False,3
290,Nincada,https://pokemondb.net/pokedex/nincada,Bug,Ground,0.5,5.5,31,172,266,45,85,207,90,166,306,30,58,174,30,58,174,40,76,196,266,615,1323,False,3
291,Ninjask,https://pokemondb.net/pokedex/ninjask,Bug,Flying,0.8,12.0,61,232,326,90,166,306,45,85,207,50,94,218,50,94,218,160,292,460,456,963,1735,False,3
292,Shedinja,https://pokemondb.net/pokedex/shedinja,Bug,Ghost,0.8,1.2,1,1,1,90,166,306,45,85,207,30,58,174,30,58,174,40,76,196,236,444,1058,False,3
293,Whismur,https://pokemondb.net/pokedex/whismur,Normal,None,0.6,16.3,64,238,332,51,96,221,23,45,159,51,96,221,23,45,159,28,54,170,240,574,1262,False,3
294,Loudred,https://pokemondb.net/pokedex/loudred,Normal,None,1.0,40.5,84,278,372,71,132,265,43,81,203,71,132,265,43,81,203,48,90,214,360,794,1522,False,3
295,Exploud,https://pokemondb.net/pokedex/exploud,Normal,None,1.5,84.0,104,318,412,91,168,309,63,117,247,91,168,309,73,135,269,68,126,258,490,1032,1804,False,3
296,Makuhita,https://pokemondb.net/pokedex/makuhita,Fighting,None,1.0,86.4,72,254,348,60,112,240,30,58,174,20,40,152,30,58,174,25,49,163,237,571,1251,False,3
297,Hariyama,https://pokemondb.net/pokedex/hariyama,Fighting,None,2.3,253.8,144,398,492,120,220,372,60,112,240,40,76,196,60,112,240,50,94,218,474,1012,1758,False,3
298,Azurill,https://pokemondb.net/pokedex/azurill,Normal,Fairy,0.2,2.0,50,210,304,20,40,152,40,76,196,20,40,152,40,76,196,20,40,152,190,482,1152,False,3
299,Nosepass,https://pokemondb.net/pokedex/nosepass,Rock,None,1.0,97.0,30,170,264,45,85,207,135,247,405,45,85,207,90,166,306,30,58,174,375,811,1563,False,3
300,Skitty,https://pokemondb.net/pokedex/skitty,Normal,None,0.6,11.0,50,210,304,45,85,207,45,85,207,35,67,185,35,67,185,50,94,218,260,608,1306,False,3
301,Delcatty,https://pokemondb.net/pokedex/delcatty,Normal,None,1.1,32.6,70,250,344,65,121,251,65,121,251,55,103,229,55,103,229,90,166,306,400,864,1610,False,3
302,Sableye,https://pokemondb.net/pokedex/sableye,Dark,Ghost,0.5,11.0,50,210,304,75,139,273,75,139,273,65,121,251,65,121,251,50,94,218,380,824,1570,False,3
303,Mawile,https://pokemondb.net/pokedex/mawile,Steel,Fairy,0.6,11.5,50,210,304,85,157,295,85,157,295,55,103,229,55,103,229,50,94,218,380,824,1570,False,3
304,Aron,https://pokemondb.net/pokedex/aron,Steel,Rock,0.4,60.0,50,210,304,70,130,262,100,184,328,40,76,196,40,76,196,30,58,174,330,734,1460,False,3
305,Lairon,https://pokemondb.net/pokedex/lairon,Steel,Rock,0.9,120.0,60,230,324,90,166,306,140,256,416,50,94,218,50,94,218,40,76,196,430,916,1678,False,3
